Image,Set,Class_ID,Class_Name,X,Y,Width,Height
Screenshot-2025-04-11-223410_png.rf.fe02fdcfc3f432f7091eb84b8b641e0c.jpg,train,6,sad_female,0.409375,0.39921875,0.7109375,0.74453125
Screenshot-2025-04-01-022405_png.rf.8f1ca730ce63180ff2e3fad417cf4dc6.jpg,train,0,angry_female,0.1890625,0.45625,0.1859375,0.64921875
Screenshot-2025-04-01-022405_png.rf.8f1ca730ce63180ff2e3fad417cf4dc6.jpg,train,0,angry_female,0.79609375,0.32890625,0.22734375,0.5234375
Screenshot-2025-03-29-030651_png.rf.7e0afbc29982405ab5caf8d3b1668536.jpg,train,5,happy_male,0.51953125,0.51640625,0.29609375,0.55546875
Screenshot-2025-04-12-151009_png.rf.8f03daab148a47db32c9e9c331d4830a.jpg,train,9,sleepy_male,0.475,0.4515625,0.459375,0.6015625
Screenshot-2025-03-30-225851_png.rf.650bcc5df406a51bc5ad1eb759c108de.jpg,train,9,sleepy_male,0.4078125,0.33515625,0.475,0.6203125
Screenshot-2025-03-29-032426_png.rf.dd3e017c6798e1cbd0f3b3ce4e085547.jpg,train,5,happy_male,0.11953125,0.25546875,0.18125,0.38125
Screenshot-2025-03-29-032426_png.rf.dd3e017c6798e1cbd0f3b3ce4e085547.jpg,train,5,happy_male,0.621875,0.26875,0.18125,0.428125
Screenshot-2025-03-29-032426_png.rf.dd3e017c6798e1cbd0f3b3ce4e085547.jpg,train,5,happy_male,0.14765625,0.765625,0.1921875,0.425
Screenshot-2025-03-29-032426_png.rf.dd3e017c6798e1cbd0f3b3ce4e085547.jpg,train,5,happy_male,0.61953125,0.76171875,0.1984375,0.4390625
Screenshot-2025-03-29-032426_png.rf.dd3e017c6798e1cbd0f3b3ce4e085547.jpg,train,1,angry_male,0.3828125,0.75390625,0.20390625,0.4109375
Screenshot-2025-03-29-032426_png.rf.dd3e017c6798e1cbd0f3b3ce4e085547.jpg,train,7,sad_male,0.859375,0.7640625,0.20859375,0.4515625
Screenshot-2025-03-29-032426_png.rf.dd3e017c6798e1cbd0f3b3ce4e085547.jpg,train,7,sad_male,0.8609375,0.265625,0.203125,0.44765625
Screenshot-2025-03-29-032426_png.rf.dd3e017c6798e1cbd0f3b3ce4e085547.jpg,train,5,happy_male,0.37578125,0.25703125,0.20078125,0.48828125
Screenshot-2025-03-31-103956_png.rf.38f3691a8f863aa47a29f02d58ff4434.jpg,train,11,surprised_male,0.5421875,0.103125,0.21484375,0.19765625
Screenshot-2025-03-31-103956_png.rf.38f3691a8f863aa47a29f02d58ff4434.jpg,train,10,surprised_female,0.43515625,0.72734375,0.3953125,0.31953125
Screenshot-2025-03-31-030405_png.rf.5919f326669c97b6bfea5f0b0b22a8a1.jpg,train,8,sleepy_female,0.6484375,0.446875,0.58828125,0.67421875
Screenshot-2025-04-11-224538_png.rf.8f4ee12e3046bb6958676d040456b53a.jpg,train,6,sad_female,0.5109375,0.45703125,0.5609375,0.67578125
Screenshot-2025-04-02-011858_png.rf.fbd57a76888e2b4ae717dd62b8526e53.jpg,train,6,sad_female,0.5328125,0.465625,0.7921875,0.70625
Screenshot-2025-03-30-135610_png.rf.966f48480cb076361ff4265ae7fffe1b.jpg,train,6,sad_female,0.21953125,0.44453125,0.32109375,0.8890625
Screenshot-2025-03-30-135610_png.rf.966f48480cb076361ff4265ae7fffe1b.jpg,train,6,sad_female,0.84296875,0.39765625,0.18515625,0.50234375
Screenshot-2025-04-07-010435_png.rf.c7265159fd49fef371f99582c31cc391.jpg,train,11,surprised_male,0.2375,0.36875,0.15625,0.5828125
Screenshot-2025-04-07-010435_png.rf.c7265159fd49fef371f99582c31cc391.jpg,train,11,surprised_male,0.82890625,0.50703125,0.228125,0.81953125
Screenshot-2025-03-28-024000_png.rf.8775cb756b92cbabced4b64f6827382e.jpg,train,2,fear_female,0.33203125,0.475,0.31171875,0.94921875
Screenshot-2025-03-28-024000_png.rf.8775cb756b92cbabced4b64f6827382e.jpg,train,3,fear_male,0.76640625,0.5109375,0.140625,0.5546875
Screenshot-2025-03-30-025919_png.rf.540891c1a8f2b82a86cbe4f852a20bb7.jpg,train,1,angry_male,0.48984375,0.50859375,0.44609375,0.95703125
Screenshot-2025-03-30-125524_png.rf.57c4c97f21c38ff5ce25e3df632dc985.jpg,train,6,sad_female,0.203125,0.42890625,0.17265625,0.721875
Screenshot-2025-03-30-125524_png.rf.57c4c97f21c38ff5ce25e3df632dc985.jpg,train,7,sad_male,0.8328125,0.5234375,0.18046875,0.8609375
Screenshot-2025-03-27-220849_png.rf.0a5ba9d2a3d8572208c5685c2803052e.jpg,train,3,fear_male,0.5921875,0.4140625,0.371875,0.69375
Screenshot-2025-03-29-193224_png.rf.8bf3878e4aad4d1d84947967d5f260a2.jpg,train,0,angry_female,0.2671875,0.3609375,0.22734375,0.584375
Screenshot-2025-03-29-193224_png.rf.8bf3878e4aad4d1d84947967d5f260a2.jpg,train,1,angry_male,0.8375,0.484375,0.290625,0.8921875
Screenshot-2025-03-29-191251_png.rf.ada3fc28e6bbade6690452d6bccf386b.jpg,train,5,happy_male,0.48515625,0.25703125,0.240625,0.453125
Screenshot-2025-03-30-232312_png.rf.188ba836af9bccd6f4ff68b0973fba16.jpg,train,8,sleepy_female,0.53125,0.36953125,0.72421875,0.63984375
Screenshot-2025-03-29-190944_png.rf.299560d03deab328c11b6c4e32753948.jpg,train,4,happy_female,0.7109375,0.425,0.24609375,0.66171875
Screenshot-2025-03-29-190944_png.rf.299560d03deab328c11b6c4e32753948.jpg,train,5,happy_male,0.19453125,0.49921875,0.2796875,0.78046875
Screenshot-2025-04-11-223239_png.rf.67e3dd11c332fe5af609980108a78811.jpg,train,6,sad_female,0.57890625,0.2734375,0.48515625,0.546875
Screenshot-2025-04-07-025000_png.rf.6a84d26bda5d43864bd92751561eb6dd.jpg,train,5,happy_male,0.11484375,0.38515625,0.19296875,0.6828125
Screenshot-2025-04-07-025000_png.rf.6a84d26bda5d43864bd92751561eb6dd.jpg,train,5,happy_male,0.8140625,0.37421875,0.18046875,0.66171875
Screenshot-2025-03-30-125957_png.rf.a9ab206053e75b7f555a1754878001ad.jpg,train,6,sad_female,0.428125,0.3375,0.44140625,0.63125
Screenshot-2025-03-30-133442_png.rf.3223959e8a713ca792f076e6a6e24c98.jpg,train,7,sad_male,0.53671875,0.36640625,0.653125,0.7328125
Screenshot-2025-03-29-190315_png.rf.aac6ea20dd22ff1741f27c4a890a9fec.jpg,train,5,happy_male,0.53125,0.34921875,0.10703125,0.23671875
Screenshot-2025-03-29-190315_png.rf.aac6ea20dd22ff1741f27c4a890a9fec.jpg,train,5,happy_male,0.68984375,0.4875,0.11328125,0.2078125
Screenshot-2025-04-11-224017_png.rf.56999b59a0416f0d1f9fd53303c3f4c3.jpg,train,6,sad_female,0.21953125,0.37734375,0.2078125,0.65
Screenshot-2025-04-11-224017_png.rf.56999b59a0416f0d1f9fd53303c3f4c3.jpg,train,6,sad_female,0.8125,0.44140625,0.234375,0.74140625
Screenshot-2025-03-29-030721_png.rf.0fdf6e84eb47cc83cfc81590cffd8fdc.jpg,train,4,happy_female,0.565625,0.2453125,0.20078125,0.284375
Screenshot-2025-03-31-104727_png.rf.b1d175e59198ad28bb8f0dc977087486.jpg,train,11,surprised_male,0.196875,0.13515625,0.26953125,0.2515625
Screenshot-2025-03-31-104727_png.rf.b1d175e59198ad28bb8f0dc977087486.jpg,train,11,surprised_male,0.590625,0.64609375,0.27265625,0.23828125
Screenshot-2025-03-31-104727_png.rf.b1d175e59198ad28bb8f0dc977087486.jpg,train,10,surprised_female,0.6296875,0.1984375,0.25390625,0.1953125
Screenshot-2025-03-31-100914_png.rf.97e2ef948e68284ad74f309c2a13207f.jpg,train,10,surprised_female,0.13984375,0.44296875,0.2578125,0.796875
Screenshot-2025-03-31-100914_png.rf.97e2ef948e68284ad74f309c2a13207f.jpg,train,11,surprised_male,0.734375,0.484375,0.26484375,0.7484375
Screenshot-2025-03-31-030322_png.rf.aacac5aa6e3ae1d8b26f821346124c62.jpg,train,9,sleepy_male,0.7078125,0.39609375,0.334375,0.79140625
Screenshot-2025-03-31-030322_png.rf.aacac5aa6e3ae1d8b26f821346124c62.jpg,train,8,sleepy_female,0.18203125,0.575,0.3140625,0.7
Screenshot-2025-03-29-195818_png.rf.1a3dac9510cd91a8ba30270633655c19.jpg,train,1,angry_male,0.4125,0.271875,0.39296875,0.48828125
Screenshot-2025-04-07-025221_png.rf.fcc6071fdeb921226aeb0b51eab9e9f2.jpg,train,5,happy_male,0.06328125,0.44921875,0.1046875,0.884375
Screenshot-2025-04-07-025221_png.rf.fcc6071fdeb921226aeb0b51eab9e9f2.jpg,train,5,happy_male,0.459375,0.43359375,0.0953125,0.615625
Screenshot-2025-04-07-025221_png.rf.fcc6071fdeb921226aeb0b51eab9e9f2.jpg,train,5,happy_male,0.915625,0.44765625,0.09140625,0.6328125
Screenshot-2025-03-31-095521_png.rf.81db9bc73329000a1db0946c5c264e66.jpg,train,11,surprised_male,0.17578125,0.5125,0.27265625,0.78984375
Screenshot-2025-03-31-095521_png.rf.81db9bc73329000a1db0946c5c264e66.jpg,train,10,surprised_female,0.7890625,0.40859375,0.17734375,0.52578125
Screenshot-2025-03-30-135918_png.rf.9e8a80614de1647a45108adeb2db5f66.jpg,train,7,sad_male,0.18515625,0.47421875,0.2828125,0.91875
Screenshot-2025-03-30-135918_png.rf.9e8a80614de1647a45108adeb2db5f66.jpg,train,7,sad_male,0.80546875,0.4875,0.3078125,0.95546875
Screenshot-2025-04-02-011630_png.rf.6e1e89099c6768274a852ed8cc72d2a0.jpg,train,6,sad_female,0.4859375,0.415625,0.65859375,0.7859375
Screenshot-2025-03-29-032248_png.rf.d6b3565eb7ff58c2059b09f92ecff49f.jpg,train,5,happy_male,0.50546875,0.39296875,0.3234375,0.51875
Screenshot-2025-03-30-231133_png.rf.2f098dcdc13fed801960af08d16f42aa.jpg,train,9,sleepy_male,0.509375,0.3578125,0.46484375,0.628125
Screenshot-2025-04-11-234738_png.rf.d84ed123c5b843ac3f774b9d135dad68.jpg,train,7,sad_male,0.5,0.3703125,1,0.69140625
Screenshot-2025-03-27-221652_png.rf.ceedb6207e7aa32da23da379121f51a8.jpg,train,2,fear_female,0.3015625,0.4765625,0.20546875,0.37265625
Screenshot-2025-03-27-221652_png.rf.ceedb6207e7aa32da23da379121f51a8.jpg,train,3,fear_male,0.6703125,0.3890625,0.16484375,0.33359375
